번호,파일명,단순분류,정상확률,포트홀확률,신뢰도,CP예측집합,CP클래스,CP클래스번호,이미지경로
1,frame_0000.png,정상,0.6146,0.3854,0.6146,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0000.png
2,frame_0001.png,정상,0.6155,0.3845,0.6155,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0001.png
3,frame_0002.png,정상,0.6388,0.3612,0.6388,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0002.png
4,frame_0003.png,정상,0.6606,0.3394,0.6606,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0003.png
5,frame_0004.png,정상,0.6681,0.3319,0.6681,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0004.png
6,frame_0005.png,정상,0.5518,0.4482,0.5518,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0005.png
7,frame_0006.png,정상,0.5842,0.4158,0.5842,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0006.png
8,frame_0007.png,포트홀,0.3935,0.6065,0.6065,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0007.png
9,frame_0008.png,정상,0.5404,0.4596,0.5404,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0008.png
10,frame_0009.png,정상,0.5858,0.4142,0.5858,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0009.png
11,frame_0010.png,정상,0.5144,0.4856,0.5144,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0010.png
12,frame_0011.png,포트홀,0.4502,0.5498,0.5498,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0011.png
13,frame_0012.png,포트홀,0.3386,0.6614,0.6614,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0012.png
14,frame_0013.png,정상,0.5183,0.4817,0.5183,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0013.png
15,frame_0014.png,정상,0.5176,0.4824,0.5176,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0014.png
16,frame_0015.png,포트홀,0.4700,0.5300,0.5300,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0015.png
17,frame_0016.png,정상,0.5715,0.4285,0.5715,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0016.png
18,frame_0017.png,정상,0.5526,0.4474,0.5526,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0017.png
19,frame_0018.png,정상,0.5442,0.4558,0.5442,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0018.png
20,frame_0019.png,포트홀,0.3928,0.6072,0.6072,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0019.png
21,frame_0020.png,포트홀,0.4749,0.5251,0.5251,set(),애매 (포트홀 쪽),2,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0020.png
22,frame_0021.png,정상,0.5403,0.4597,0.5403,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0021.png
23,frame_0022.png,정상,0.5182,0.4818,0.5182,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0022.png
24,frame_0023.png,정상,0.6679,0.3321,0.6679,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0023.png
25,frame_0024.png,정상,0.6839,0.3161,0.6839,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0024.png
26,frame_0025.png,포트홀,0.3935,0.6065,0.6065,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0025.png
27,frame_0026.png,정상,0.5646,0.4354,0.5646,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0026.png
28,frame_0027.png,정상,0.5441,0.4559,0.5441,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0027.png
29,frame_0028.png,정상,0.5253,0.4747,0.5253,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0028.png
30,frame_0029.png,포트홀,0.3936,0.6064,0.6064,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0029.png
31,frame_0030.png,정상,0.5870,0.4130,0.5870,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0030.png
32,frame_0031.png,정상,0.5851,0.4149,0.5851,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0031.png
33,frame_0032.png,정상,0.5780,0.4220,0.5780,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0032.png
34,frame_0033.png,정상,0.6541,0.3459,0.6541,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0033.png
35,frame_0034.png,정상,0.6429,0.3571,0.6429,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0034.png
36,frame_0035.png,정상,0.6335,0.3665,0.6335,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0035.png
37,frame_0036.png,정상,0.6086,0.3914,0.6086,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0036.png
38,frame_0037.png,정상,0.6178,0.3822,0.6178,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0037.png
39,frame_0038.png,정상,0.6359,0.3641,0.6359,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0038.png
40,frame_0039.png,정상,0.5864,0.4136,0.5864,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0039.png
41,frame_0040.png,정상,0.5291,0.4709,0.5291,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0040.png
42,frame_0041.png,포트홀,0.4687,0.5313,0.5313,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0041.png
43,frame_0042.png,정상,0.5024,0.4976,0.5024,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0042.png
44,frame_0043.png,정상,0.5487,0.4513,0.5487,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0043.png
45,frame_0044.png,정상,0.5744,0.4256,0.5744,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0044.png
46,frame_0045.png,정상,0.6019,0.3981,0.6019,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0045.png
47,frame_0046.png,정상,0.5382,0.4618,0.5382,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0046.png
48,frame_0047.png,포트홀,0.4625,0.5375,0.5375,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0047.png
49,frame_0048.png,포트홀,0.4638,0.5362,0.5362,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0048.png
50,frame_0049.png,포트홀,0.3279,0.6721,0.6721,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0049.png
51,frame_0050.png,정상,0.5107,0.4893,0.5107,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0050.png
52,frame_0051.png,포트홀,0.4330,0.5670,0.5670,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0051.png
53,frame_0052.png,포트홀,0.4603,0.5397,0.5397,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0052.png
54,frame_0053.png,포트홀,0.4593,0.5407,0.5407,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0053.png
55,frame_0054.png,정상,0.6173,0.3827,0.6173,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0054.png
56,frame_0055.png,포트홀,0.4829,0.5171,0.5171,set(),애매 (포트홀 쪽),2,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0055.png
57,frame_0056.png,정상,0.5316,0.4684,0.5316,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0056.png
58,frame_0057.png,포트홀,0.4734,0.5266,0.5266,set(),애매 (포트홀 쪽),2,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0057.png
59,frame_0058.png,포트홀,0.4456,0.5544,0.5544,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0058.png
60,frame_0059.png,정상,0.5408,0.4592,0.5408,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0059.png
61,frame_0060.png,정상,0.5544,0.4456,0.5544,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0060.png
62,frame_0061.png,포트홀,0.3135,0.6865,0.6865,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0061.png
63,frame_0062.png,정상,0.5426,0.4574,0.5426,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0062.png
64,frame_0063.png,포트홀,0.4372,0.5628,0.5628,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0063.png
65,frame_0064.png,정상,0.5767,0.4233,0.5767,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0064.png
66,frame_0065.png,포트홀,0.4282,0.5718,0.5718,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0065.png
67,frame_0066.png,포트홀,0.3686,0.6314,0.6314,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0066.png
68,frame_0067.png,포트홀,0.4354,0.5646,0.5646,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0067.png
69,frame_0068.png,포트홀,0.4680,0.5320,0.5320,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0068.png
70,frame_0069.png,포트홀,0.4624,0.5376,0.5376,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0069.png
71,frame_0070.png,포트홀,0.4391,0.5609,0.5609,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0070.png
72,frame_0071.png,정상,0.5471,0.4529,0.5471,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0071.png
73,frame_0072.png,정상,0.6007,0.3993,0.6007,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0072.png
74,frame_0073.png,정상,0.5983,0.4017,0.5983,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0073.png
75,frame_0074.png,포트홀,0.4565,0.5435,0.5435,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0074.png
76,frame_0075.png,정상,0.6007,0.3993,0.6007,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0075.png
77,frame_0076.png,포트홀,0.3855,0.6145,0.6145,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0076.png
78,frame_0077.png,정상,0.5370,0.4630,0.5370,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0077.png
79,frame_0078.png,정상,0.5241,0.4759,0.5241,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0078.png
80,frame_0079.png,정상,0.6501,0.3499,0.6501,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0079.png
81,frame_0080.png,정상,0.5880,0.4120,0.5880,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0080.png
82,frame_0081.png,포트홀,0.4976,0.5024,0.5024,set(),애매 (포트홀 쪽),2,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0081.png
83,frame_0082.png,정상,0.5032,0.4968,0.5032,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0082.png
84,frame_0083.png,정상,0.5750,0.4250,0.5750,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0083.png
85,frame_0084.png,정상,0.6300,0.3700,0.6300,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0084.png
86,frame_0085.png,정상,0.5805,0.4195,0.5805,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0085.png
87,frame_0086.png,포트홀,0.4511,0.5489,0.5489,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0086.png
88,frame_0087.png,포트홀,0.4060,0.5940,0.5940,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0087.png
89,frame_0088.png,정상,0.5048,0.4952,0.5048,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0088.png
90,frame_0089.png,정상,0.5619,0.4381,0.5619,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0089.png
91,frame_0090.png,포트홀,0.3815,0.6185,0.6185,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0090.png
92,frame_0091.png,포트홀,0.4657,0.5343,0.5343,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0091.png
93,frame_0092.png,정상,0.5060,0.4940,0.5060,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0092.png
94,frame_0093.png,포트홀,0.4961,0.5039,0.5039,set(),애매 (포트홀 쪽),2,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0093.png
95,frame_0094.png,포트홀,0.4985,0.5015,0.5015,set(),애매 (포트홀 쪽),2,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0094.png
96,frame_0095.png,포트홀,0.4054,0.5946,0.5946,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0095.png
97,frame_0096.png,포트홀,0.4096,0.5904,0.5904,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0096.png
98,frame_0097.png,포트홀,0.4661,0.5339,0.5339,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0097.png
99,frame_0098.png,정상,0.5156,0.4844,0.5156,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0098.png
100,frame_0099.png,정상,0.6119,0.3881,0.6119,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0099.png
101,frame_0100.png,정상,0.5608,0.4392,0.5608,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0100.png
102,frame_0101.png,정상,0.5015,0.4985,0.5015,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0101.png
103,frame_0102.png,정상,0.5357,0.4643,0.5357,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0102.png
104,frame_0103.png,포트홀,0.4153,0.5847,0.5847,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0103.png
105,frame_0104.png,정상,0.6369,0.3631,0.6369,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0104.png
106,frame_0105.png,포트홀,0.4641,0.5359,0.5359,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0105.png
107,frame_0106.png,포트홀,0.4698,0.5302,0.5302,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0106.png
108,frame_0107.png,포트홀,0.4923,0.5077,0.5077,set(),애매 (포트홀 쪽),2,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0107.png
109,frame_0108.png,정상,0.5378,0.4622,0.5378,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0108.png
110,frame_0109.png,포트홀,0.4067,0.5933,0.5933,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0109.png
111,frame_0110.png,포트홀,0.4485,0.5515,0.5515,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0110.png
112,frame_0111.png,포트홀,0.4856,0.5144,0.5144,set(),애매 (포트홀 쪽),2,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0111.png
113,frame_0112.png,정상,0.5251,0.4749,0.5251,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0112.png
114,frame_0113.png,포트홀,0.4000,0.6000,0.6000,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0113.png
115,frame_0114.png,포트홀,0.4279,0.5721,0.5721,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0114.png
116,frame_0115.png,포트홀,0.3826,0.6174,0.6174,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0115.png
117,frame_0116.png,포트홀,0.3996,0.6004,0.6004,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0116.png
118,frame_0117.png,포트홀,0.4581,0.5419,0.5419,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0117.png
119,frame_0118.png,포트홀,0.4302,0.5698,0.5698,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0118.png
120,frame_0119.png,정상,0.5676,0.4324,0.5676,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0119.png
121,frame_0120.png,포트홀,0.4993,0.5007,0.5007,set(),애매 (포트홀 쪽),2,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0120.png
122,frame_0121.png,포트홀,0.4465,0.5535,0.5535,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0121.png
123,frame_0122.png,정상,0.6038,0.3962,0.6038,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0122.png
124,frame_0123.png,정상,0.6437,0.3563,0.6437,{0},확실한 정상,0,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0123.png
125,frame_0124.png,정상,0.5372,0.4628,0.5372,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0124.png
126,frame_0125.png,포트홀,0.3982,0.6018,0.6018,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0125.png
127,frame_0126.png,포트홀,0.3750,0.6250,0.6250,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0126.png
128,frame_0127.png,포트홀,0.3550,0.6450,0.6450,{1},확실한 포트홀,3,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0127.png
129,frame_0128.png,정상,0.5532,0.4468,0.5532,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0128.png
130,frame_0129.png,정상,0.5280,0.4720,0.5280,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0129.png
131,frame_0130.png,정상,0.5735,0.4265,0.5735,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0130.png
132,frame_0131.png,정상,0.5460,0.4540,0.5460,set(),애매 (정상 쪽),1,C:\Users\Dell3571\Desktop\PROJECTS\pothole-pipeline\sample_maker\extracted_frames\frame_0131.png
